Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
713.173389103,C24H43O20P1S1,C24H43O20SP,C24H43O20P1S1,C24H43O20SP,FALSE,FALSE
769.203778866,C24H43O22N4P1,C24H43O22N4P,C24H43O22N4P1,C24H43O22N4P,FALSE,FALSE
485.260475301,C24H43O4N2P1S1,C24H43O4N2SP,C24H43O4N2P1S1,C24H43O4N2SP,FALSE,FALSE
481.295213471,C24H43O4N4P1,C24H43O4N4P,C24H43O4N4P1,C24H43O4N4P,FALSE,FALSE
489.226630383,C24H43O4P1S2,C24H43O4S2P,C24H43O4P1S2,C24H43O4S2P,FALSE,FALSE
469.284113848,C24H43O5N2P1,C24H43O5N2P,C24H43O5N2P1,C24H43O5N2P,FALSE,FALSE
501.255922061,C24H43O5N2P1S1,C24H43O5N2SP,C24H43O5N2P1S1,C24H43O5N2SP,FALSE,FALSE
505.221829643,C24H43O5P1S2,C24H43O5S2P,C24H43O5P1S2,C24H43O5S2P,FALSE,FALSE
485.278728527,C24H43O6N2P1,C24H43O6N2P,C24H43O6N2P1,C24H43O6N2P,FALSE,FALSE
517.250946649,C24H43O6N2P1S1,C24H43O6N2SP,C24H43O6N2P1S1,C24H43O6N2SP,FALSE,FALSE
513.28509232,C24H43O6N4P1,C24H43O6N4P,C24H43O6N4P1,C24H43O6N4P,FALSE,FALSE
521.216560904,C24H43O6P1S2,C24H43O6S2P,C24H43O6P1S2,C24H43O6S2P,FALSE,FALSE
501.273135219,C24H43O7N2P1,C24H43O7N2P,C24H43O7N2P1,C24H43O7N2P,FALSE,FALSE
533.245723666,C24H43O7N2P1S1,C24H43O7N2SP,C24H43O7N2P1S1,C24H43O7N2SP,FALSE,FALSE
529.279621584,C24H43O7N4P1,C24H43O7N4P,C24H43O7N4P1,C24H43O7N4P,FALSE,FALSE
473.267555374,C24H43O7P1,C24H43O7P,C24H43O7P1,C24H43O7P,FALSE,FALSE
505.239106347,C24H43O7P1S1,C24H43O7SP,C24H43O7P1S1,C24H43O7SP,FALSE,FALSE
537.211189012,C24H43O7P1S2,C24H43O7S2P,C24H43O7P1S2,C24H43O7S2P,FALSE,FALSE
517.268785174,C24H43O8N2P1,C24H43O8N2P,C24H43O8N2P1,C24H43O8N2P,FALSE,FALSE
545.274535551,C24H43O8N4P1,C24H43O8N4P,C24H43O8N4P1,C24H43O8N4P,FALSE,FALSE
489.262524661,C24H43O8P1,C24H43O8P,C24H43O8P1,C24H43O8P,FALSE,FALSE
521.23420576,C24H43O8P1S1,C24H43O8SP,C24H43O8P1S1,C24H43O8SP,FALSE,FALSE
553.206009748,C24H43O8P1S2,C24H43O8S2P,C24H43O8P1S2,C24H43O8S2P,FALSE,FALSE
533.262965559,C24H43O9N2P1,C24H43O9N2P,C24H43O9N2P1,C24H43O9N2P,FALSE,FALSE
561.269532559,C24H43O9N4P1,C24H43O9N4P,C24H43O9N4P1,C24H43O9N4P,FALSE,FALSE
505.257062265,C24H43O9P1,C24H43O9P,C24H43O9P1,C24H43O9P,FALSE,FALSE
537.229418088,C24H43O9P1S1,C24H43O9SP,C24H43O9P1S1,C24H43O9SP,FALSE,FALSE
552.257916896,C24H44O11N1P1,C24H44O11NP,C24H44O11N1P1,C24H44O11NP,FALSE,FALSE
568.252627712,C24H44O12N1P1,C24H44O12NP,C24H44O12N1P1,C24H44O12NP,FALSE,FALSE
584.247678529,C24H44O13N1P1,C24H44O13NP,C24H44O13N1P1,C24H44O13NP,FALSE,FALSE
600.242500345,C24H44O14N1P1,C24H44O14NP,C24H44O14N1P1,C24H44O14NP,FALSE,FALSE
472.265139245,C24H44O4N1P1S1,C24H44O4NSP,C24H44O4N1P1S1,C24H44O4NSP,FALSE,FALSE
488.260547568,C24H44O5N1P1S1,C24H44O5NSP,C24H44O5N1P1S1,C24H44O5NSP,FALSE,FALSE
536.227550759,C24H44O6N1P1S2,C24H44O6NS2P,C24H44O6N1P1S2,C24H44O6NS2P,FALSE,FALSE
552.222374158,C24H44O7N1P1S2,C24H44O7NS2P,C24H44O7N1P1S2,C24H44O7NS2P,FALSE,FALSE
